id,day,quarter,back-door,bathroom,bedroom,fridge-door,front-door,hallway,kitchen,lounge
0cda9,2019-05-08,06-12,4.0,15.0,11,12.0,12.0,41.0,25.0,33.0
0cda9,2019-05-08,12-18,2.0,5.0,0,18.0,8.0,32.0,24.0,29.0
0cda9,2019-05-08,18-24,2.0,11.0,6,2.0,2.0,14.0,10.0,11.0
0cda9,2019-05-09,00-06,0.0,2.0,7,16.0,0.0,15.0,11.0,13.0
0cda9,2019-05-09,06-12,8.0,25.0,47,40.0,10.0,42.0,26.0,51.0
0cda9,2019-05-09,12-18,4.0,10.0,0,16.0,3.0,27.0,18.0,34.0
0cda9,2019-05-09,18-24,2.0,8.0,9,10.0,2.0,27.0,14.0,29.0
0cda9,2019-05-10,00-06,0.0,6.0,7,2.0,0.0,6.0,4.0,4.0
0cda9,2019-05-10,06-12,12.0,26.0,15,24.0,18.0,47.0,28.0,31.0
0cda9,2019-05-10,12-18,2.0,3.0,0,13.0,7.0,28.0,22.0,23.0
0cda9,2019-05-10,18-24,2.0,3.0,7,12.0,2.0,19.0,18.0,22.0
0cda9,2019-05-11,00-06,0.0,0.0,17,6.0,0.0,6.0,5.0,1.0
0cda9,2019-05-11,06-12,2.0,22.0,11,22.0,11.0,31.0,21.0,28.0
0cda9,2019-05-11,12-18,2.0,3.0,1,26.0,5.0,31.0,26.0,28.0
0cda9,2019-05-11,18-24,2.0,6.0,4,0.0,0.0,8.0,4.0,11.0
0cda9,2019-05-12,00-06,0.0,1.0,12,18.0,0.0,16.0,17.0,4.0
0cda9,2019-05-12,06-12,2.0,17.0,7,24.0,2.0,27.0,14.0,23.0
0cda9,2019-05-12,12-18,8.0,5.0,3,16.0,10.0,30.0,16.0,35.0
0cda9,2019-05-12,18-24,4.0,3.0,4,12.0,2.0,22.0,22.0,23.0
0cda9,2019-05-13,00-06,0.0,1.0,9,12.0,0.0,9.0,4.0,6.0
0cda9,2019-05-13,06-12,4.0,27.0,13,16.0,18.0,46.0,27.0,40.0
