id,date,hour,bathroom,bedroom,front-door,hallway,kitchen
16f4b,2019-06-03,2,0.0,0.0,0.0,1.0,0.0
16f4b,2019-06-03,6,2.0,0.0,0.0,3.0,2.0
16f4b,2019-06-03,8,4.0,0.0,2.0,6.0,5.0
16f4b,2019-06-03,9,1.0,0.0,2.0,3.0,2.0
16f4b,2019-06-03,10,9.0,0.0,4.0,13.0,9.0
16f4b,2019-06-03,11,0.0,0.0,4.0,4.0,4.0
16f4b,2019-06-03,12,8.0,0.0,2.0,14.0,7.0
16f4b,2019-06-03,13,4.0,0.0,0.0,17.0,10.0
16f4b,2019-06-03,14,10.0,0.0,4.0,18.0,9.0
16f4b,2019-06-03,16,2.0,0.0,0.0,2.0,1.0
16f4b,2019-06-03,17,0.0,0.0,1.0,1.0,0.0
16f4b,2019-06-03,18,0.0,0.0,3.0,6.0,14.0
16f4b,2019-06-03,19,6.0,0.0,4.0,9.0,3.0
16f4b,2019-06-03,20,0.0,0.0,2.0,13.0,16.0
16f4b,2019-06-03,21,1.0,0.0,8.0,14.0,8.0
16f4b,2019-06-03,22,0.0,0.0,0.0,2.0,2.0
16f4b,2019-06-03,23,0.0,0.0,0.0,1.0,1.0
16f4b,2019-06-04,0,0.0,0.0,0.0,4.0,3.0
16f4b,2019-06-04,1,1.0,0.0,0.0,7.0,4.0
16f4b,2019-06-04,4,1.0,0.0,0.0,2.0,0.0
16f4b,2019-06-04,7,1.0,0.0,0.0,2.0,1.0
16f4b,2019-06-04,8,7.0,0.0,10.0,12.0,14.0
16f4b,2019-06-04,9,2.0,0.0,2.0,10.0,8.0
16f4b,2019-06-04,10,11.0,0.0,2.0,13.0,9.0
16f4b,2019-06-04,11,5.0,0.0,4.0,20.0,19.0
16f4b,2019-06-04,12,21.0,0.0,2.0,22.0,18.0
16f4b,2019-06-04,13,4.0,0.0,0.0,15.0,13.0
16f4b,2019-06-04,14,3.0,0.0,8.0,16.0,10.0
16f4b,2019-06-04,15,1.0,0.0,6.0,22.0,18.0
16f4b,2019-06-04,16,6.0,0.0,8.0,25.0,15.0
16f4b,2019-06-04,17,7.0,0.0,23.0,20.0,19.0
16f4b,2019-06-04,18,14.0,0.0,6.0,22.0,11.0
16f4b,2019-06-04,19,20.0,0.0,12.0,17.0,16.0
16f4b,2019-06-04,20,13.0,0.0,6.0,19.0,13.0
16f4b,2019-06-04,21,10.0,0.0,2.0,12.0,6.0
16f4b,2019-06-04,22,3.0,0.0,0.0,2.0,0.0
16f4b,2019-06-04,23,1.0,0.0,0.0,2.0,4.0
16f4b,2019-06-05,0,0.0,0.0,0.0,6.0,5.0
16f4b,2019-06-05,1,1.0,0.0,0.0,4.0,0.0
16f4b,2019-06-05,2,0.0,0.0,0.0,1.0,0.0
16f4b,2019-06-05,6,1.0,0.0,0.0,2.0,1.0
16f4b,2019-06-05,9,8.0,0.0,4.0,16.0,13.0
16f4b,2019-06-05,10,10.0,0.0,6.0,20.0,13.0
16f4b,2019-06-05,11,5.0,0.0,0.0,5.0,9.0
16f4b,2019-06-05,12,5.0,0.0,2.0,7.0,9.0
16f4b,2019-06-05,13,13.0,0.0,2.0,16.0,10.0
16f4b,2019-06-05,14,1.0,0.0,2.0,11.0,5.0
16f4b,2019-06-05,15,3.0,0.0,14.0,14.0,9.0
16f4b,2019-06-05,16,5.0,0.0,0.0,13.0,10.0
16f4b,2019-06-05,17,2.0,0.0,7.0,13.0,10.0
16f4b,2019-06-05,18,1.0,0.0,5.0,6.0,5.0
16f4b,2019-06-05,19,6.0,0.0,6.0,17.0,12.0
16f4b,2019-06-05,20,0.0,0.0,0.0,3.0,7.0
16f4b,2019-06-05,21,1.0,0.0,0.0,6.0,5.0
16f4b,2019-06-05,22,4.0,0.0,0.0,8.0,11.0
16f4b,2019-06-05,23,0.0,0.0,2.0,7.0,11.0
16f4b,2019-06-06,0,5.0,0.0,2.0,8.0,4.0
16f4b,2019-06-06,1,0.0,0.0,0.0,2.0,2.0
16f4b,2019-06-06,5,1.0,0.0,0.0,3.0,1.0
16f4b,2019-06-06,7,0.0,0.0,0.0,1.0,1.0
16f4b,2019-06-06,8,6.0,0.0,6.0,17.0,10.0
16f4b,2019-06-06,9,5.0,0.0,2.0,11.0,6.0
16f4b,2019-06-06,10,0.0,0.0,4.0,3.0,2.0
16f4b,2019-06-06,11,11.0,0.0,2.0,18.0,17.0
16f4b,2019-06-06,12,1.0,0.0,6.0,5.0,3.0
16f4b,2019-06-06,13,4.0,0.0,0.0,5.0,2.0
16f4b,2019-06-06,14,2.0,0.0,0.0,3.0,3.0
16f4b,2019-06-06,15,2.0,0.0,0.0,9.0,6.0
16f4b,2019-06-06,17,3.0,0.0,0.0,7.0,2.0
16f4b,2019-06-06,18,2.0,0.0,0.0,6.0,4.0
16f4b,2019-06-06,19,2.0,0.0,0.0,6.0,3.0
16f4b,2019-06-06,20,2.0,0.0,0.0,3.0,7.0
16f4b,2019-06-06,21,6.0,0.0,0.0,3.0,3.0
16f4b,2019-06-06,22,3.0,0.0,4.0,14.0,12.0
16f4b,2019-06-06,23,5.0,0.0,2.0,5.0,2.0
